clip_id,reasoning_trace
ed637800-f49f-4b1e-bdc0-6e4673d736ee,"[['Slow down due to the lead car ahead braking and approaching a stop, requiring a safe following gap.']]"
eec154e5-5874-450a-a98c-ddb681e0fe3f,[['Keep lane to continue driving since no critical agent needs attention.']]
6112f898-2f4e-4788-aa2c-27abd488fd54,[['Stop at the stop line since the straight traffic light is red']]
6329548a-bc4d-45a1-97fb-d0350f4c2b23,[['Stop at the stop line due to the red traffic light']]
752561f7-26ce-4a32-9fb4-dc2f2805ce53,[['Stop due to the stop sign at the intersection.']]
069a8056-5ebe-4816-9024-b101ec1311b9,[['Stop at the stop line since the straight traffic light is red']]
1742f2a4-88d2-4aaf-a474-fb7b755d8ea6,[['Accelerate to proceed through the intersection since the straight traffic light turns green.']]
1b1d89de-ba03-4106-a267-f9025e91c132,[['Stop at the stop line since the straight traffic light is red']]
1cb323ce-ed10-4fba-a61e-e523e5b93ab2,[['Accelerate to proceed through the intersection due to the green traffic light']]
1d91de7f-af33-491e-ba1d-5ccd4bbe0371,[['Accelerate to proceed through the intersection since the straight traffic light turns green.']]
79a00e9c-c9b1-40d2-9ff5-6faca877066b,[['Stop at the stop line since the straight traffic light is red']]
7ad70959-fc44-42fb-8187-975a1a025da8,[['Stop at the stop line since the straight traffic light is red']]
7b026836-2af6-42ce-8485-8a1b52ba1fb0,[['Stop at the stop line since the straight traffic light is red']]
7b634b49-a0b8-43f9-a413-1b697331c6bd,[['Stop at the stop line since the straight traffic light is red']]
83d03ca3-7f61-4c1c-a3d4-3f5b4448c2a6,[['Accelerate to proceed through the intersection since the straight traffic light is green.']]
9ed7efcf-40bc-40f9-a2a2-0ae3443e86e4,[['Keep lane to continue driving since the lane ahead is clear.']]
e388147e-bfa3-48b7-886b-9c1fa6aa9ac4,[['Stop at the stop line since the straight traffic light is red']]
ee5bca58-bf5e-4978-a8f9-71ea1dfc4e8f,[['Stop at the stop line since the straight traffic light is red']]
ffa6e703-3d67-4a8a-a155-01d310e49067,[['Stop at the stop line since the straight traffic light is red']]
052da783-8e46-4932-bdd3-6a5fde454387,[['Split to the right to follow the exit ramp.']]
0e226bbf-67db-4ff8-8a80-1f676d391881,[['Merge into the mainline to fit a gap with the adjacent traffic.']]
1a9afd2d-28ca-4f90-a5e5-d722652253a4,[['Keep lane to continue driving since no critical agent needs attention.']]
43888d9d-9de2-4662-9025-b7b049388c9b,[['Maintain lane and wait for a usable gap to the right to prepare for a lane change to the right because a car is overtaking in the adjacent right lane and blocks the merge.']]
4803e746-fe7a-4f7e-9766-63477025479a,[['Turn left at the intersection since the left-turn traffic light turns green.']]
4d5eba31-e2b4-4cb7-b1e7-08caf93c292d,[['Accelerate to proceed through the intersection since the straight traffic light turns green.']]
633a9684-b68b-46e8-8c02-08fa7035e835,[['Change lanes to the right to merge behind the lead vehicle and then slow to maintain a safe following gap as it slows.']]
66b71f97-a4a3-484e-9e47-9ad61ec99992,[['Stop to keep distance to the lead vehicle.']]
66e14936-f7b1-4df4-89e2-72cc136024df,[['Keep distance to the lead vehicle because it is ahead in the same lane.']]
74669b4d-5676-4e11-bd41-8d3141101c6e,[['Keep distance to the lead vehicle to maintain a safe following gap']]
80404a26-0cd8-4424-886a-7790b4ba9841,[['Adapt speed to maintain a safe distance from the lead vehicle']]
b02616a9-c103-4db1-ae68-63cf1e13c903,[['Keep distance to the lead vehicle because it is slowing near the intersection.']]
b25b014a-873a-437b-bc2e-4010f4de2e1f,[['Keep distance to the lead vehicle to maintain a safe following gap']]
b58e56f4-900f-45f5-99e1-999a070c3fd3,[['Keep lane to maintain clearance from the truck in the right lane']]
e77d57ce-56cc-4e29-82e0-31346730b071,[['Keep distance to the lead vehicle to maintain a safe gap.']]
e99164d9-2291-4931-9825-36d7e46374c5,[['Adapt speed for the right curve ahead.']]
